"Timestamp","Select gender","Postal zone(e.g Kingston 2) ","Please select your age group","What is your usual craving for Jamaican breakfast?","Which of these popular Jamaican sides would you pair with your breakfast? ","What do you usually order for a light breakfast?","Which meat type do you prefer?","Which of these would you typically order for lunch? ","And what side dish would you choose to go with that? ","Which of these cooking styles or flavors do you enjoy the most in your meals? ","Which of these popular Jamaican Juices would you choose with your lunch? ","What drink would you most likely order with your lunch? ","Which of these smoothie combinations sounds most refreshing to you?"
"2025/03/24 5:46:10 PM EST","Female","St. Catherine","Yound Adult (20 - 29)","Cooked up saltfish","Breadfruit;Fritters;Festival","Scrambled eggs;Porridge;French toast","Chicken;Fish","Fried chicken","Rice and Peas","Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice","Soft drink","Banana, oats, nutmegs, almond milk"
"2025/03/25 3:20:20 PM EST","Male","2","Yound Adult (20 - 29)","Egg","Bread","Scrambled Eggs;Sausage;Fruits","Chicken;Fish;Pork;Goat","Sandwich/Burger","Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice","Tropical Rythm","Banana, oats, nutmegs, almond milk"
"2025/03/25 3:20:57 PM EST","Female","Kingston 7","Yound Adult (20 - 29)","Egg","Fry Dumpling","Scrambled Eggs","Chicken","Jerk Chicken","Rice and Peas","Indian (eg. curry)","Guava pineapple Juice","Cran Wata","Fruits (no milk)"
"2025/03/25 3:23:48 PM EST","Female","Kingston 11","Yound Adult (20 - 29)","Egg","Fry Dumpling","Porridge;Sandwich","Chicken","Sandwich/Burger","Fries","Chinese (eg. stir fries)","Water","Water","Fruits (with milk)"
"2025/03/25 3:27:46 PM EST","Female","Kingston 19","Yound Adult (20 - 29)","Ackee & Saltfish","Ground Provision/ Soul Food;Fry Dumpling;Boiled Dumpling;Fritters;Festival","French Toast;Scrambled Eggs","Chicken;Fish;Pork;Goat;Beef","Fry Chicken","Rice and Peas","Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice;Water","Water","Fruits (no milk)"
"2025/03/25 3:27:56 PM EST","Female","","Yound Adult (20 - 29)","Callaloo","Fry Dumpling;Bammy;Breadfruit;Fritters;Festival","Porridge;Pancakes;Waffles;Bacon;Scrambled Eggs;Sandwich;Sausage;Fruits","Chicken;Fish;Pork;Goat;Beef","Fry Chicken","Rice and Peas;Fries;Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice;Juneplum Juice;Orange Juice","Cran Wata","Fruits (no milk)"
"2025/03/25 3:29:48 PM EST","Female","8","Yound Adult (20 - 29)","Egg","Fry Dumpling;Fritters;Festival","French Toast;Scrambled Eggs","Chicken;Fish","Patty","Coco Bread","Chinese (eg. stir fries)","I prefer water","Cran Wata","Fruits (no milk)"
"2025/03/25 3:29:51 PM EST","Female","2","Yound Adult (20 - 29)","Egg","Breadfruit;Fritters;Hashbrown","French Toast;Fruits","Chicken;Pork","Sandwich/Burger","Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice;Juneplum Juice;Guava pineapple Juice;Orange Juice","Tropical Rythm","Fruits (no milk)"
"2025/03/25 3:33:23 PM EST","Female","Kingston 7","Yound Adult (20 - 29)","Ackee & Saltfish","Fry Dumpling;Festival","Scrambled Eggs;Sausage","Chicken","Patty","Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Guava pineapple Juice","Tropical Rythm","Banana, oats, nutmegs, almond milk"
"2025/03/25 3:33:35 PM EST","Female","","Yound Adult (20 - 29)","Beans and sausage","Fry Dumpling;Fritters;Festival","Scrambled Eggs;Sandwich","Chicken;Fish","Patty","Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Guava pineapple Juice","Water","Fruits (no milk)"
"2025/03/25 3:44:18 PM EST","Female","","Yound Adult (20 - 29)","Ackee & Saltfish","Ground Provision/ Soul Food;Fry Dumpling;Boiled Dumpling","Waffles;Bacon","Chicken;Fish;Pork;Goat;Beef","Fry Chicken","Rice and Peas;Mashed potatoes","Jamaican ( eg. brown stew, run down, escoveitch)","Beetroot Juice","Tropicana","Banana, oats, nutmegs, almond milk"
"2025/03/25 3:45:38 PM EST","Female","","Yound Adult (20 - 29)","Kidney","Fry Dumpling;Boiled Dumpling","Porridge;Bacon;Scrambled Eggs;Sandwich;Sausage;Fruits","Chicken;Fish","Fry Chicken","Rice and Peas","Indian (eg. curry)","Pine & ginger Juice;Guava pineapple Juice;Orange Juice","Soft drink","Fruits (no milk)"
