Timestamp,Select gender,Postal zone(e.g Kingston 2) ,Please select your age group,What is your usual craving for Jamaican breakfast?,Which of these popular Jamaican sides would you pair with your breakfast? ,What do you usually order for a light breakfast?,Which meat type do you prefer?,Which of these would you typically order for lunch? ,And what side dish would you choose to go with that? ,Which of these cooking styles or flavors do you enjoy the most in your meals? ,Which of these popular Jamaican Juices would you choose with your lunch? ,What drink would you most likely order with your lunch? ,Which of these smoothie combinations sounds most refreshing to you?
3/24/2025 17:46:10,Female,St. Catherine,Yound Adult (20 - 29),Cooked up saltfish,"Breadfruit, Fritters, Festival","Scrambled eggs, Porridge, French toast","Chicken, Fish",Fried chicken,Rice and Peas,"Jamaican ( eg. brown stew, run down, escoveitch)",Orange Juice,Soft drink,"Banana, oats, nutmegs, almond milk"
3/25/2025 15:20:20,Male,2,Yound Adult (20 - 29),Egg,Bread,"Scrambled Eggs, Sausage, Fruits","Chicken, Fish, Pork, Goat",Sandwich/Burger,Fries,"Jamaican ( eg. brown stew, run down, escoveitch)",Orange Juice,Tropical Rythm,"Banana, oats, nutmegs, almond milk"
3/25/2025 15:20:58,Female,Kingston 7,Yound Adult (20 - 29),Egg,Fry Dumpling,Scrambled Eggs,Chicken,Jerk Chicken,Rice and Peas,Indian (eg. curry),Guava pineapple Juice,Cran Wata,Fruits (no milk)
3/25/2025 15:23:48,Female,Kingston 11,Yound Adult (20 - 29),Egg,Fry Dumpling,"Porridge, Sandwich",Chicken,Sandwich/Burger,Fries,Chinese (eg. stir fries),Water,Water,Fruits (with milk)
3/25/2025 15:27:47,Female,Kingston 19,Yound Adult (20 - 29),Ackee & Saltfish,"Ground Provision/ Soul Food, Fry Dumpling, Boiled Dumpling, Fritters, Festival","French Toast, Scrambled Eggs","Chicken, Fish, Pork, Goat, Beef",Fry Chicken,Rice and Peas,"Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice, Water",Water,Fruits (no milk)
3/25/2025 15:27:56,Female,,Yound Adult (20 - 29),Callaloo,"Fry Dumpling, Bammy, Breadfruit, Fritters, Festival","Porridge, Pancakes, Waffles, Bacon, Scrambled Eggs, Sandwich, Sausage, Fruits","Chicken, Fish, Pork, Goat, Beef",Fry Chicken,"Rice and Peas, Fries, Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice, Juneplum Juice, Orange Juice",Cran Wata,Fruits (no milk)
3/25/2025 15:29:49,Female,8,Yound Adult (20 - 29),Egg,"Fry Dumpling, Fritters, Festival","French Toast, Scrambled Eggs","Chicken, Fish",Patty,Coco Bread,Chinese (eg. stir fries),I prefer water,Cran Wata,Fruits (no milk)
3/25/2025 15:29:51,Female,2,Yound Adult (20 - 29),Egg,"Breadfruit, Fritters, Hashbrown","French Toast, Fruits","Chicken, Pork",Sandwich/Burger,Fries,"Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice, Juneplum Juice, Guava pineapple Juice, Orange Juice",Tropical Rythm,Fruits (no milk)
3/25/2025 15:33:23,Female,Kingston 7,Yound Adult (20 - 29),Ackee & Saltfish,"Fry Dumpling, Festival","Scrambled Eggs, Sausage",Chicken,Patty,Fries,"Jamaican ( eg. brown stew, run down, escoveitch)",Guava pineapple Juice,Tropical Rythm,"Banana, oats, nutmegs, almond milk"
3/25/2025 15:33:35,Female,,Yound Adult (20 - 29),Beans and sausage,"Fry Dumpling, Fritters, Festival","Scrambled Eggs, Sandwich","Chicken, Fish",Patty,Fries,"Jamaican ( eg. brown stew, run down, escoveitch)",Guava pineapple Juice,Water,Fruits (no milk)
3/25/2025 15:44:18,Female,,Yound Adult (20 - 29),Ackee & Saltfish,"Ground Provision/ Soul Food, Fry Dumpling, Boiled Dumpling","Waffles, Bacon","Chicken, Fish, Pork, Goat, Beef",Fry Chicken,"Rice and Peas, Mashed potatoes","Jamaican ( eg. brown stew, run down, escoveitch)",Beetroot Juice,Tropicana,"Banana, oats, nutmegs, almond milk"
3/25/2025 15:45:39,Female,,Yound Adult (20 - 29),Kidney,"Fry Dumpling, Boiled Dumpling","Porridge, Bacon, Scrambled Eggs, Sandwich, Sausage, Fruits","Chicken, Fish",Fry Chicken,Rice and Peas,Indian (eg. curry),"Pine & ginger Juice, Guava pineapple Juice, Orange Juice",Soft drink,Fruits (no milk)
3/25/2025 15:49:55,Female,Kingston 10,Yound Adult (20 - 29),Ackee & Saltfish,"Ground Provision/ Soul Food, Bammy, Breadfruit, Festival",Sandwich,"Chicken, Fish, Goat",Jerk Chicken,"Rice and Peas, Mashed potatoes, Raw vegetables salad, Macaroni salad","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice, Guava pineapple Juice",Cran Wata,Fruits (no milk)
3/25/2025 15:54:09,Female,,Yound Adult (20 - 29),Beans and sausage,"Fry Dumpling, Breadfruit, Fritters, Festival","Porridge, Bacon, Scrambled Eggs, Sandwich, Sausage, Fruits","Chicken, Beef",Fry Chicken,"Rice and Peas, Alfredo pasta, Mashed potatoes, Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Guava pineapple Juice, Orange Juice",Box drink,Fruits (with milk)
3/25/2025 15:58:02,Female,,Teenager (12 - 19),Egg,"Fry Dumpling, Breadfruit, Fritters","Sandwich, Fruits",Beef,Fry Chicken,"Coco Bread, Alfredo pasta, Macaroni salad",Chinese (eg. stir fries),Juneplum Juice,Tropical Rythm,Fruits (with milk)
3/25/2025 16:00:06,Female,Kingston 20,Youn Adult (20 - 29),Ackee & Saltfish,"Ground Provision/ Soul Food, Boiled Dumpling, Breadfruit","Porridge, Waffles, Sandwich",Beef,Barbe-Fry Chicken,"Rice and Peas, Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)",Orange Juice,Cran Wata,Fruits (no milk)
3/25/2025 16:00:32,Female,,Teenager (12 - 19),Beans and sausage,"Fry Dumpling, Fritters",Sandwich,Chicken,Fry Chicken,"Rice and Peas, Macaroni salad",Chinese (eg. stir fries),"Guava pineapple Juice, Orange Juice",Soft drink,Fruits (with milk)
3/25/2025 16:02:37,Female,,Young Adult (20 - 29),Ackee & Saltfish,"Fry Dumpling, Boiled Dumpling, Breadfruit, Fritters","Pancakes, French Toast, Waffles, Scrambled Eggs, Sandwich, Sausage","Chicken, Fish, Goat",Fry Chicken,"Rice and Peas, White Rice, Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Guava pineapple Juice, Orange Juice",Soft drink,Fruits (no milk)
3/25/2025 16:06:03,Male,Kingston 3,Young Adult (20 - 29),Liver,Fry Dumpling,"Waffles, Scrambled Eggs, Fruits","Chicken, Fish, Goat, Beef",Fry Chicken,"Rice and Peas, Fries","Jamaican ( eg. brown stew, run down, escoveitch)",Orange Juice,Tropicana,Fruits (no milk)
3/25/2025 16:08:21,Female,,Young Adult (20 - 29),Callaloo,Boiled Dumpling,Pancakes,Chicken,Fry Chicken,Rice and Peas,Indian (eg. curry),Orange Juice,Tropical Rythm,Fruits (no milk)
3/25/2025 16:10:36,Female,Kingston 6,Young Adult (20 - 29),Ackee & Saltfish,Fry Dumpling,"Scrambled Eggs, Sandwich",Chicken,Barbe-Fry Chicken,Rice and Peas,Indian (eg. curry),Pine & ginger Juice,Soft drink,Fruits (no milk)
3/25/2025 16:15:03,Female,Spanish Town,Teenager (12 - 19),Ackee & Saltfish,Fry Dumpling,"Porridge, Scrambled Eggs, Fruits",Chicken,Barbe-Fry Chicken,"Rice and Peas, Macaroni salad",Chinese (eg. stir fries),"Juneplum Juice, Orange Juice",Cran Wata,Fruits (with milk)
3/25/2025 16:18:21,Female,Kingston 8,Young Adult (20 - 29),Ackee & Saltfish,"Ground Provision/ Soul Food, Fry Dumpling, Boiled Dumpling, Breadfruit, Festival","Porridge, Scrambled Eggs, Sandwich","Chicken, Fish",Barbe-Fry Chicken,"Rice and Peas, Raw vegetables salad, Macaroni salad","Jamaican ( eg. brown stew, run down, escoveitch)","Callaloo Juice, Juneplum Juice, Beetroot Juice, Orange Juice",Water,"Banana, oats, nutmegs, almond milk"
3/25/2025 16:20:16,Female,,Young Adult (20 - 29),Liver,"Fry Dumpling, Boiled Dumpling, Fritters, Festival","Pancakes, Waffles, Scrambled Eggs, Sandwich","Chicken, Pork, Beef",Patty,"Coco Bread, Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice, Guava pineapple Juice",Cran Wata,Fruits (with milk)
